about,关于
availableOnDevice,支持的设备
availableThrough,提货截止时间
award,所获奖项
awards,所获奖项
awayTeam,客场队
baseSalary,底薪
bed,床位信息
benefits,工作福利
bestRating,支持的最高评分分数
billingAddress,账单地址
billingIncrement,账单最小计价单位
billingPeriod,账单结算周期
birthDate,出生日期
birthPlace,出生地点
bitrate,比特率
blogPost,博客文章
blogPosts,博客文章
boardingGroup,登机乘客分组
boardingPolicy,登机政策
bookEdition,书籍版本
bookFormat,书籍格式
bookingAgent,订票中介
bookingTime,预定时间
borrower,借入者
box,多边形
branchCode,分支编码
branchOf,母公司
brand,品牌
breadcrumb,面包屑
broadcastAffiliateOf,所属服务商联盟
broadcastChannelId,广播频道ID
broadcastDisplayName,广播频道名称
broadcastOfEvent,广播频道播出的活动
broadcastServiceTier,广播频道所属的服务级别
broadcastTimezone,广播频道所在的时区
broadcaster,广播频道的提供商
broker,经纪人
browserRequirements,浏览器要求
busName,公共汽车名称
busNumber,公共汽车编号
businessFunction,商业职能
buyer,买家
byArtist,艺人
calories,卡路里
candidate,候选人
caption,标题
carbohydrateContent,碳水化合物含量
cargoVolume,汽车载货容量
carrier,承运商
carrierRequirements,运营商要求
catalog,所属数据目录
catalogNumber,目录中的编号
category,类别
character,人物角色
characterAttribute,人物角色属性
characterName,人物角色名字
cheatCode,游戏作弊码
checkinTime,入住时间
checkoutTime,退房时间
childMaxAge,最大儿童年龄
childMinAge,最小儿童年龄
children,子女
cholesterolContent,胆固醇含量
circle,圆形区域
citation,引用
claimReviewed,被评价的声明
clipNumber,片段编号
closes,关门时间
coach,教练
codeRepository,代码库
codeSampleType,代码示例的类型
colleague,同事
colleagues,同事
collection,集合
color,颜色
comment,评论
commentCount,评论总数
commentText,评论文字
commentTime,评论发表时间
competitor,竞技对手
composer,作曲者
confirmationNumber,确认编号
contactOption,联系选项
contactPoint,联络点
contactPoints,联络点
contactType,联系方式职能类型
containedIn,包含在
containedInPlace,包含在
containsPlace,包含
containsSeason,包含哪些季
contentLocation,所描述的地点
contentRating,内容的评级
contentSize,内容的文件大小
contentType,内容的文件类型
contentUrl,内容的访问链接
contributor,贡献者
cookTime,烹饪时间
cookingMethod,烹饪方法
copyrightHolder,版权所有者
copyrightYear,版权年份
countriesNotSupported,不支持的国家
countriesSupported,支持的国家
countryOfOrigin,影片制作国家
course,路线
courseCode,课程的代码
courseMode,课程的授课模式
coursePrerequisites,课程必需的预备知识
coverageEndTime,博客直播结束时间
coverageStartTime,博客直播开始时间
creator,作者
creditedTo,贡献者
currenciesAccepted,接收的货币
currency,货币种类
customer,顾客
dataFeedElement,数据源的一条记录
dataset,数据集
datasetTimeInterval,数据集覆盖的时间段
dateCreated,创建日期
dateDeleted,删除日期
dateIssued,发布日期
dateModified,更新日期
datePosted,发布日期
datePublished,发布日期
dateRead,阅读日期
dateReceived,接收日期
dateSent,发送日期
dateVehicleFirstRegistered,汽车首次注册日期
dateline,发稿地点
dayOfWeek,星期几
deathDate,逝世日期
deathPlace,逝世地点
defaultValue,缺省值
deliveryAddress,物流送货地址
deliveryLeadTime,物流送货时间
deliveryMethod,物流送货方式
deliveryStatus,物流送货状态
department,部门
departureAirport,出发机场
departureBusStop,出发汽车站
departureGate,出发登机口
departurePlatform,出发站台
departureStation,出发火车站
departureTerminal,出发航站楼
departureTime,出发时间
dependencies,依赖的先决条件
depth,深度
description,描述
device,设备
director,导演
directors,导演
disambiguatingDescription,消歧描述
discount,折扣
discountCode,优惠码
discountCurrency,折扣对应的货币
discusses,讨论
discussionUrl,讨论URL
dissolutionDate,解散日期
distance,距离
distribution,数据集的下载版本
doorTime,允许进场时间
downloadUrl,下载链接
downvoteCount,反对总数
driveWheelConfiguration,驱动轮配置
dropoffLocation,租车归还地点
dropoffTime,租车归还时间
duns,邓白氏编码
duration,持续时间
durationOfWarranty,保修期
editor,编辑者
educationRequirements,教育背景要求
educationalAlignment,对应的教学达标要求
educationalFramework,对应的教学标准
educationalRole,教育活动中的角色
educationalUse,教育用途
elevation,海拔高度
eligibleCustomerType,适用的顾客类型
eligibleDuration,有效时间
eligibleQuantity,适用数量
eligibleRegion,适用地区
eligibleTransactionVolume,适用购买数量
email,电子邮件
embedUrl,嵌入URL
employee,雇员
employees,雇员
employmentType,就业类型
encodesCreativeWork,对应的作品
encoding,编码
encodingFormat,编码格式
encodingType,编码类型
encodings,编码
endDate,结束日期
endTime,结束时间
endorsee,背书支持
entertainmentBusiness,娱乐业
episode,剧集
episodeNumber,剧集编号
episodes,剧集
equal,等于
error,错误
estimatedFlightDuration,预计飞行时间
event,事件
eventStatus,活动的状态
events,事件
exampleOfWork,范例作品
executableLibraryName,可执行链接库名称
exerciseCourse,锻炼场地
exifData,图片对象的EXIF信息
expectedArrivalFrom,预计最早送达时间
expectedArrivalUntil,预计最晚送达时间
expectsAcceptanceOf,行动前必须接受的条件
experienceRequirements,经验要求
expires,过期日期
familyName,姓
fatContent,脂肪含量
faxNumber,传真号
featureList,功能列表
feesAndCommissionsSpecification,费用和佣金详情
fiberContent,纤维含量
fileFormat,文件格式
fileSize,文件大小
firstPerformance,首演
flightDistance,飞行距离
flightNumber,航班号
floorSize,建筑面积
followee,被关注的对象
follows,关注
foodEstablishment,餐饮场所
foodEvent,在此进行的和食物有关的活动
founder,创始人
founders,创始人
foundingDate,成立日期
foundingLocation,成立地点
free,是否免费
fromLocation,发源地
fuelConsumption,耗油率
fuelEfficiency,油耗值
fuelType,燃料类型
funder,投资者
game,游戏
gameItem,游戏道具
gameLocation,游戏地址
gamePlatform,游戏平台
gameServer,游戏服务器
gameTip,游戏攻略
gender,性别
genre,艺术类型
geo,经纬度
geoMidpoint,中心点的经纬度
geoRadius,区域半径
geographicArea,受众群所在地理区域
givenName,名
globalLocationNumber,全球位置码
grantee,受让人
greater,大于
greaterOrEqual,大于等于
gtin12,12位全球贸易品项识别码
gtin13,13位全球贸易品项识别码
gtin14,14位全球贸易品项识别码
gtin8,8位全球贸易品项识别码
hasCourseInstance,课程实例
hasDeliveryMethod,物流送货方式
hasDigitalDocumentPermission,数字文档访问权限
hasMap,地图URL
hasMenu,菜单
hasMenuItem,菜单项目
hasMenuSection,菜单栏目
hasOfferCatalog,商品目录
hasPOS,销售网点
hasPart,组成部分
headline,文章标题
height,高度
highPrice,最高价
hiringOrganization,雇主
homeLocation,家庭地址
homeTeam,主队
honorificPrefix,姓名前面的敬语
honorificSuffix,姓名后面的敬语
hostingOrganization,会员服务提供者
hoursAvailable,可访问时间
httpMethod,http方法
iataCode,国际航空运输协会代码
icaoCode,国际民航组织机场代码
identifier,标识符
illustrator,插图绘制者
image,图片
inAlbum,所属专辑
inBroadcastLineup,提供该频道的有线或者卫星服务
inLanguage,使用的语言
inPlaylist,所属播放列表
incentiveCompensation,奖金补贴
incentives,奖金
includedComposition,包含的乐曲部分
includedDataCatalog,所在的数据集目录
includedInDataCatalog,所在的数据集目录
includesObject,包含的对象
industry,所属行业
ineligibleRegion,不适用地区
ingredients,食材
installUrl,APP安装地址
instructor,教师
instrument,工具
interactionCount,交互总数
interactionService,交互对应的软件服务
interactionStatistic,交互统计
interactionType,交互类型
interactivityType,交互类型
interestRate,利率
inventoryLevel,库存量
isAccessibleForFree,是否免费
isAccessoryOrSparePartFor,是另一产品的附件或备件
isBasedOn,上游资源URL
isBasedOnUrl,上游资源
isConsumableFor,下游产品
isFamilyFriendly,是否适合全家观看
isGift,是否礼物
isLiveBroadcast,是否直播
isPartOf,从属于
isRelatedTo,相关
isSimilarTo,相似
isVariantOf,变形
isbn,ISBN码
isicV4,国际标准行业分类
isrcCode,国际标准音像制品代码
issn,ISSN号
issueNumber,期刊号
issuedBy,许可的签发机构
issuedThrough,被许可的服务
iswcCode,国际标准音乐作品编码
item,条目
itemCondition,规格
itemListElement,列表里的项目元素
itemListOrder,列表排列顺序
itemOffered,销售物品
itemReviewed,评价物品
itemShipped,运送物品
jobBenefits,职位福利
jobLocation,工作地点
jobTitle,工作头衔
keywords,关键词
knownVehicleDamages,已知汽车故障
knows,认识
landlord,房东
language,语言
lastReviewed,最近审查时间
latitude,纬度
learningResourceType,学习资料类型
legalName,官方名称
leiCode,全球法人机构识别编码
lender,借出者
lesser,小于
lesserOrEqual,小于等于
license,许可证书
line,直线
liveBlogUpdate,博客直播的一条更新
loanTerm,贷款期限
location,地点
locationCreated,创建地点
lodgingUnitDescription,旅馆房间描述
lodgingUnitType,旅馆房间房型
logo,商标
longitude,经度
loser,输家
lowPrice,最低价格
lyricist,作词者
lyrics,歌词
mainContentOfPage,是否网页主题
mainEntity,核心实体
mainEntityOfPage,页面的核心实体
makesOffer,提供的产品或服务
manufacturer,制造商
map,地图
mapType,地图类型
maps,地图
material,材质
maxPrice,最高价格
maxValue,最大值
maximumAttendeeCapacity,最多可容纳多少人参与
mealService,套餐描述
member,会员
memberOf,会员所属的机构
members,会员
membershipNumber,会员编号
memoryRequirements,最低内存要求
mentions,提到的实体
menu,菜单
merchant,商人
messageAttachment,消息附件
mileageFromOdometer,里程数
minPrice,最低价格
minValue,最小值
minimumPaymentDue,最小付款额
model,型号
modifiedTime,更新时间
mpn,制造商零件编码
multipleValues,是否允许多个值
musicArrangement,改编曲
musicBy,作曲者
musicCompositionForm,乐曲形式
musicGroupMember,乐团成员
musicReleaseFormat,音乐发行格式
musicalKey,音乐的调
naics,北美行业分类系统
name,名称
namedPosition,角色名称
nationality,国籍
netWorth,净资产
nextItem,下一项
nonEqual,不等于
numAdults,大人人数
numChildren,小孩人数
numTracks,音轨数
numberOfAirbags,汽车安全气囊总数
numberOfAxles,汽车轮轴数
numberOfBeds,床位数
numberOfDoors,汽车车门数
numberOfEmployees,雇员数
numberOfEpisodes,剧集数
numberOfForwardGears,前进档位数
numberOfItems,条目数量
numberOfPages,总页数
numberOfPlayers,玩家数
numberOfPreviousOwners,历任车主数
numberOfRooms,房间数
numberOfSeasons,季数
numberedPosition,角色编码
nutrition,营养成分
object,行动操作的对象
occupancy,最大入住人数
occupationalCategory,职位分类
offerCount,商品的报价总数
offeredBy,报价者
offers,报价
openingHours,开放时间
openingHoursSpecification,开放时间详情
opens,开门时间
operatingSystem,操作系统
opponent,对手
option,选项
orderDate,订单的下单日期
orderDelivery,订单的物流选择
orderItemNumber,订单条目的编号
orderItemStatus,订单条目的状态
orderNumber,订单的编号
orderQuantity,订单条目的采购数量
orderStatus,订单的状态
orderedItem,订单条目
organizer,组织者
originAddress,发货者的地址
ownedFrom,所有权开始时间
ownedThrough,所有权结束时间
owns,拥有
pageEnd,结束页码
pageStart,开始页码
pagination,起止页码
parent,父母
parentItem,上级条目
parentOrganization,母公司
parentService,上级服务
parents,父母
partOfEpisode,所属剧集
partOfInvoice,所属账单
partOfOrder,所属订单
partOfSeason,所属季
partOfSeries,所属系列
partOfTVSeries,所属系列
participant,参与者
partySize,预约活动的参与人数
passengerPriorityStatus,乘客优先级状态
passengerSequenceNumber,乘客的顺序编号
paymentAccepted,接受的支付方式
paymentDue,最晚付款日期
paymentDueDate,最晚付款日期
paymentMethod,支付方式
paymentMethodId,支付方式ID
paymentStatus,支付状态
paymentUrl,付款链接
performer,表演者
performerIn,表演活动
performers,表演者
permissionType,权限类型
permissions,权限
permitAudience,许可证的受众群
permittedUsage,允许的用途
petsAllowed,是否允许带宠物
photo,照片
photos,照片
pickupLocation,接人地点
pickupTime,接人时间
playMode,游戏玩家模式
playerType,播放器类型
playersOnline,在线玩家数
polygon,多边形
position,位置
postOfficeBoxNumber,邮政邮箱编号
postalCode,邮政编码
potentialAction,预期的行动
predecessorOf,上一代型号
prepTime,准备时间
previousItem,上一条目
previousStartDate,之前计划的开始日期
price,价格
priceComponent,复合价格中提及的所有单价
priceCurrency,价格对应的货币单位
priceRange,价格范围
priceSpecification,价格明细
priceType,价格类型
priceValidUntil,价格有效截止日期
primaryImageOfPage,页面里的主要图片
printColumn,印刷品所在列数
printEdition,印刷品版本
printPage,印刷品所在页面
printSection,印刷品所在栏目
processingTime,处理时间
processorRequirements,处理器要求
producer,制作人
produces,制作
productID,产品ID
productSupported,支持的产品
productionCompany,制作公司
productionDate,生产日期
proficiencyLevel,熟练度水平
programMembershipUsed,使用的会员身份
programName,会员身份的折扣计划
programmingLanguage,编程语言
programmingModel,是否托管代码
propertyID,属性ID
proteinContent,蛋白质含量
provider,提供方
providerMobility,提供方是否机动
providesBroadcastService,提供的广播服务
providesService,提供的服务
publication,发布活动
publishedOn,发布的媒体
publisher,出版商
publishingPrinciples,出版准则
purchaseDate,购买日期
qualifications,资历要求
query,查询
quest,游戏任务
question,问题
ratingCount,评分总数
ratingValue,评分
readonlyValue,值是否只读
realEstateAgent,房地产中介
recipe,菜谱
recipeCategory,菜谱分类
recipeCuisine,菜谱的菜系
recipeIngredient,菜谱的食材
recipeInstructions,菜谱的做法
recipeYield,菜谱的产出
recipient,接收者
recordLabel,音乐厂牌
recordedAs,录音制品
recordedAt,音像产品录制的活动
recordedIn,活动对应的音像产品
recordingOf,对应的乐曲
referenceQuantity,参考数量
referencesOrder,对应的订单
regionsAllowed,允许播放的地区
relatedLink,相关链接
relatedTo,亲属
releaseDate,发布日期
releaseNotes,发布说明
releaseOf,对应的专辑
releasedEvent,发布活动
remainingAttendeeCapacity,剩余可容纳的参与人数
replacee,被替代者
replacer,替代者
replyToUrl,回复链接
reportNumber,报告编号
representativeOfPage,作为主题图所对应的页面
requiredCollateral,必须抵押品
requiredGender,性别要求
requiredMaxAge,最大年龄要求
requiredMinAge,最小年龄要求
requirements,运行要求
requiresSubscription,是否需要订阅
reservationFor,预定的对象
reservationId,预定信息的ID
reservationStatus,预定信息的状态
reservedTicket,预定的票据
responsibilities,工作职责
result,结果
resultComment,作为结果的意见
resultReview,导致该动作结果的评论
review,评论
reviewBody,评论正文
reviewCount,评论总数
reviewRating,评论者打出的分数
reviewedBy,评论人
reviews,评论
roleName,角色名称
rsvpResponse,对请柬的回复
runtime,运行平台
runtimePlatform,运行平台
salaryCurrency,工资结算货币
sameAs,等同
sampleType,代码样本类型
saturatedFatContent,饱和脂肪含量
scheduledPaymentDate,计划中的付款日期
scheduledTime,计划的时间
schemaVersion,schema的版本号
screenCount,屏幕数
screenshot,截图
season,季
seasonNumber,季的编号
seasons,季
seatNumber,座位号
seatRow,座位排号
seatSection,座位区号
seatingType,座位类型
securityScreening,安全检查
seeks,寻求
seller,商家
sender,发送者
serialNumber,序列号
serverStatus,服务器状态
servesCuisine,餐厅主营菜系
serviceArea,服务区域
serviceAudience,服务人群
serviceLocation,服务所在地点
serviceOperator,服务的运营商
serviceOutput,服务产出
servicePhone,服务电话
servicePostalAddress,服务邮寄地址
serviceSmsNumber,服务短信号码
serviceType,服务类型
serviceUrl,服务链接
servingSize,食用分量
sharedContent,分享的内容
sibling,兄弟姐妹
siblings,兄弟姐妹
significantLink,主要对外链接
significantLinks,主要对外链接
skills,技能要求
sku,单品编号
smokingAllowed,是否允许吸烟
sodiumContent,钠含量
softwareAddOn,软件的插件
softwareHelp,软件的帮助文档
softwareRequirements,软件的运行要求
softwareVersion,软件的版本
sourceOrganization,作者所属机构
spatial,数据集对应的地区
spatialCoverage,数据集对应的地区
specialCommitments,特别承诺
specialOpeningHoursSpecification,特殊开放时间详情
specialty,特长
sponsor,赞助者
sport,运动
sportsActivityLocation,运动场所
sportsEvent,运动有关的活动
sportsTeam,参赛队伍
spouse,配偶
starRating,星级评分
startDate,开始日期
startTime,开始时间
steeringPosition,方向盘位置
stepValue,步长
storageRequirements,所需磁盘空间
streetAddress,街道地址
subEvent,子活动
subEvents,子活动
subOrganization,子机构
subReservation,子预定信息
subtitleLanguage,字幕语言
successorOf,上一代型号
sugarContent,糖含量
suggestedAnswer,建议的答案
suggestedGender,建议的受众性别
suggestedMaxAge,建议的受众最大年龄
suggestedMinAge,建议的受众最小年龄
suitableForDiet,适用的饮食
superEvent,上一级的活动
supportingData,软件应用所需的数据
surface,作品材质
target,目标
targetCollection,行动要达到的目标
targetDescription,目标知识点的描述
targetName,目标知识点的名称
targetPlatform,软件应用的目标硬件平台
targetProduct,软件应用的目标操作系统
targetUrl,目标知识点的链接
taxID,纳税识别号码
telephone,电话号码
temporal,数据集的时间跨度
temporalCoverage,数据集的时间跨度
text,文本
thumbnail,缩略图
thumbnailUrl,缩略图链接
tickerSymbol,股票代号
ticketNumber,票据编号
ticketToken,票据的二维码或条形码
ticketedSeat,票据对应的座位
timeRequired,所需时间
title,头衔
toLocation,到什么地方
totalPaymentDue,应付款总额
totalPrice,总价
totalTime,总时间
track,音轨
trackingNumber,物流追踪编号
trackingUrl,物流追踪链接
tracks,音轨
trailer,预告片
trainName,火车名称
trainNumber,火车编号
transFatContent,反式脂肪含量
transcript,文字记录
translator,翻译者
typeOfBed,床位类型
typeOfGood,货物类型
typicalAgeRange,年龄层
underName,持票人
unitCode,单位代码
unitText,单位文字
unsaturatedFatContent,不饱和脂肪含量
uploadDate,上传日期
upvoteCount,支持总数
url,链接
urlTemplate,链接模版
userInteractionCount,用户交互数
validFor,有效时间
validFrom,生效日期
validIn,有效地区
validThrough,有效截止日期
validUntil,失效日期
value,值
valueAddedTaxIncluded,是否含税
valueMaxLength,值的最大长度
valueMinLength,值的最小长度
valueName,值的名称
valuePattern,值的正则表达式验证模版
valueReference,参考值
valueRequired,值是否必须
vatID,欧盟税号
vehicleConfiguration,汽车配置
vehicleEngine,汽车引擎
vehicleIdentificationNumber,汽车识别号码
vehicleInteriorColor,汽车内饰颜色
vehicleInteriorType,汽车内饰类型
vehicleModelDate,汽车型号发布日期
vehicleSeatingCapacity,汽车可容纳最大人数
vehicleSpecialUsage,汽车特殊用途
vehicleTransmission,汽车传动装置
vendor,卖主
version,版本
video,视频
videoFormat,视频格式
videoFrameSize,视频画面尺寸
videoQuality,视频画质
volumeNumber,期刊的卷号
warranty,保修
warrantyPromise,保修承诺
warrantyScope,保修范围
webCheckinTime,网上值机时间
weight,重量
width,宽度
winner,赢家
wordCount,字数
workExample,作品的范例
workFeatured,活动推广的作品
workHours,工作时间
workLocation,工作地点
workPerformed,表演的作品
workPresented,上映的作品
worksFor,受雇于
worstRating,评价体系的最低评分分数
yearlyRevenue,年利润
yearsInOperation,创立至今几年
