Thing,事物
FinancialService,金融服务机构
InsuranceAgency,保险服务机构
BankOrCreditUnion,银行或者信用合作社
AutomatedTeller,自动取款机
AccountingService,会计服务
HealthAndBeautyBusiness,健康与美容服务机构
HealthClub,健身房
BeautySalon,美容美发店
NailSalon,美甲店
TattooParlor,纹身工作室
HairSalon,美发店
DaySpa,日间水疗中心
TravelAgency,旅行社
SportsActivityLocation,运动场所
HealthClub,健身房
ExerciseGym,健身房
GolfCourse,高尔夫球场
SportsClub,体育俱乐部
StadiumOrArena,体育场馆
TennisComplex,网球中心
SkiResort,滑雪圣地
PublicSwimmingPool,公共游泳池
BowlingAlley,保龄球场
Dentist,牙科诊所
Store,商店
GroceryStore,杂货店
ConvenienceStore,便利店
AutoPartsStore,汽车配件店
JewelryStore,珠宝店
TireShop,轮胎店
MovieRentalStore,影碟出租店
ToyStore,玩具店
BookStore,书店
OutletStore,工厂直销店
MobilePhoneStore,手机店
LiquorStore,出售酒类的小店
BikeStore,自行车店
SportingGoodsStore,运动用品店
OfficeEquipmentStore,办公用品店
ClothingStore,服装店
MusicStore,音乐商店
ComputerStore,电脑商店
ShoeStore,鞋店
PetStore,宠物店
Florist,花店
PawnShop,当铺
HomeGoodsStore,家居用品店
HobbyShop,业余爱好商店
ElectronicsStore,电子产品店
GardenStore,园艺店
FurnitureStore,家具店
HardwareStore,五金店
WholesaleStore,批发店
DepartmentStore,百货公司
MensClothingStore,男装店
LodgingBusiness,旅馆业
BedAndBreakfast,提供早餐的旅馆
Motel,汽车旅馆
Hotel,旅馆
Hostel,招待所
Resort,度假村
Campground,露营地
RecyclingCenter,垃圾回收站
AutomotiveBusiness,汽车产业
AutoPartsStore,汽车配件店
AutoRepair,汽车维修店
MotorcycleDealer,摩托车行
AutoRental,汽车租赁公司
AutoDealer,车行
GasStation,加油站
AutoBodyShop,汽车维修店
MotorcycleRepair,摩托车修理店
AutoWash,洗车店
CivicStructure,市政建筑
PoliceStation,警察局
EventVenue,活动场所
PerformingArtsTheater,表演艺术中心
Museum,博物馆
Zoo,动物园
MovieTheater,电影院
PlaceOfWorship,宗教场所
Synagogue,犹太教会堂
HinduTemple,印度教寺庙
Church,教堂
BuddhistTemple,佛寺
Mosque,清真寺
CatholicChurch,天主教堂
Crematorium,火葬场
Playground,游乐场
ParkingFacility,停车场
Aquarium,海洋生物館
Bridge,桥梁
TrainStation,火车站
Beach,水滨
Park,公园
FireStation,消防站
GovernmentBuilding,政府建筑
Embassy,大使馆
DefenceEstablishment,军事基地
LegislativeBuilding,立法机构建筑
CityHall,市政厅
Courthouse,法院大楼
StadiumOrArena,体育场馆
TaxiStand,出租车站
MusicVenue,音乐演出场地
BusStop,公交站
Campground,露营地
SubwayStation,地铁站
RVPark,露营车营地
Cemetery,公墓
Airport,飞机场
Hospital,医院
BusStation,公共汽车总站
Residence,住宅区
ApartmentComplex,公寓大楼
GatedResidenceCommunity,有门禁的住宅小区
LandmarksOrHistoricalBuildings,地标或者历史性建筑
Landform,地形
Volcano,火山
Mountain,山
Continent,大洲
BodyOfWater,水体
SeaBodyOfWater,海
Reservoir,水库
RiverBodyOfWater,河
Waterfall,瀑布
LakeBodyOfWater,湖
OceanBodyOfWater,海洋
Canal,运河
Pond,池塘
Intangible,无形之物
Demand,需求
Rating,评分
AggregateRating,总体评分
PropertyValueSpecification,属性值详情
ProgramMembership,会员待遇
EntryPoint,入口
DigitalDocumentPermission,数字文档访问权限
GameServer,游戏服务器
Enumeration,枚举
GenderType,性别
MapCategoryType,地图类型
ContactPointOption,联系方式选项
DigitalDocumentPermissionType,数字文档访问权限类型
PaymentStatusType,支付状态类型
MusicAlbumReleaseType,音乐专辑发行形式
GameServerStatus,游戏服务器状态
OfferItemCondition,物品规格品相
RestrictedDiet,特定饮食
QualitativeValue,定性值
SteeringPositionValue,转向位置参数
DriveWheelConfigurationValue,驱动轮配置值
PaymentMethod,支付方式
PaymentCard,支付卡片
CreditCard,信用卡
ActionStatusType,动作状态类型
OrderStatus,订单状态
BookFormatType,书籍装订的各种形式
ItemListOrderType,列表排列顺序类型
WarrantyScope,保修范围
DeliveryMethod,送货方式
ParcelService,快递服务
LockerDelivery,快递柜
MusicAlbumProductionType,音乐专辑类型
Specialty,特长
ItemAvailability,存货状态
BusinessFunction,商业活动
RsvpResponseType,对请柬的回复类型
DayOfWeek,日历日
BusinessEntityType,商业实体类型，例如卖家，终端用户，分销商等
ReservationStatusType,预定状态类型
BoardingPolicyType,登机政策类型
MusicReleaseFormatType,音乐发行格式类型
EventStatusType,活动当前状态类型
GamePlayMode,游戏玩家模式
Audience,受众
EducationalAudience,受众群：接受教育
PeopleAudience,受众群：人群
ParentAudience,受众群：父母
BusinessAudience,受众群：商界人士
ListItem,列表里的项目
StructuredValue,结构化的值
NutritionInformation,营养成分信息
PriceSpecification,价格明细
DeliveryChargeSpecification,运费详情
UnitPriceSpecification,单价详情
CompoundPriceSpecification,复合价格明细
PaymentChargeSpecification,付款方式款项详情
PropertyValue,属性值
LocationFeatureSpecification,住宿特色明细
GeoShape,地理区域形状
GeoCircle,环形的地理区域
InteractionCounter,交互计数
TypeAndQuantityNode,类型和数量节点
DatedMoneySpecification,带日期的金钱明细
ContactPoint,联系方式
PostalAddress,邮寄地址
WarrantyPromise,保修承诺
MonetaryAmount,金钱数量
EngineSpecification,引擎规格描述
OpeningHoursSpecification,开放时间详情
OwnershipInfo,所有权信息
QuantitativeValue,定量值
GeoCoordinates,经纬度
AlignmentObject,教学达标情况
BroadcastChannel,广播频道
TelevisionChannel,电视频道
RadioChannel,无线电广播电台频道
BusTrip,长途汽车行程
Flight,航班
Permit,许可证
GovernmentPermit,政府颁发的许可证
DataFeedItem,数据源头的一项
ServiceChannel,服务渠道
Order,订单
Quantity,数量
Duration,持续时间
Mass,重量
Energy,能量
Distance,距离
Brand,品牌
Role,角色
PerformanceRole,表演角色
OrganizationRole,机构里的角色
EmployeeRole,雇员角色
ItemList,列表
BreadcrumbList,面包屑列表
OfferCatalog,商品报价目录
Seat,座位
Ticket,票
Invoice,账单
OrderItem,订单项目
Service,服务
FoodService,提供早中晚饭的服务
CableOrSatelliteService,有线或者卫星服务
BroadcastService,广播服务
TaxiService,出租车服务
Taxi,出租车
FinancialProduct,金融产品
PaymentCard,支付卡片
CreditCard,信用卡
BankAccount,银行账户
DepositAccount,存款账户
LoanOrCredit,贷款或者信用贷款
CreditCard,信用卡
PaymentService,支付服务
InvestmentOrDeposit,投资或存款产品
DepositAccount,存款账户
CurrencyConversionService,货币兑换服务
GovernmentService,政府服务
MenuItem,菜单项目
BedDetails,床位详情
Language,自然语言
TrainTrip,火车旅行
ParcelDelivery,快递服务
JobPosting,招聘启事
ComputerLanguage,计算机语言
Reservation,预定信息
TaxiReservation,预定信息：出租车
ReservationPackage,预定信息组合
EventReservation,预定信息：活动
LodgingReservation,预定信息：住宿
FlightReservation,预定信息：航班
TrainReservation,预定信息：火车
FoodEstablishmentReservation,预定信息：餐饮
BusReservation,预定信息：长途车
RentalCarReservation,预定信息：汽车出租
Offer,报价
AggregateOffer,总体报价
Event,活动
PublicationEvent,发布事件
BroadcastEvent,活动：和广播有关的
OnDemandEvent,可点播的活动录像或者录音
EducationEvent,活动：和教育有关的
DanceEvent,活动：和舞蹈有关的
FoodEvent,活动：和食物有关的
BusinessEvent,活动：和商业有关的
UserInteraction,用户交互
UserLikes,用户喜欢
UserPlays,用户播放
UserBlocks,用户阻塞
UserTweets,用户推特
UserPlusOnes,用户点赞
UserPageVisits,用户浏览
UserDownloads,用户下载
UserCheckins,用户登录
UserComments,用户评价
SaleEvent,事件：销售
ExhibitionEvent,活动：和展览有关的
CourseInstance,课程实例
ComedyEvent,活动：和喜剧有关的
ScreeningEvent,事件：影视拍摄
MusicEvent,活动：和音乐有关的
VisualArtsEvent,活动：和视觉艺术有关的
DeliveryEvent,活动：和送货有关的
ChildrensEvent,活动：和儿童有关的
Festival,节日
LiteraryEvent,活动：和文学有关的
SocialEvent,社交活动
TheaterEvent,活动：和剧院有关的
SportsEvent,体育赛事
Product,产品
Vehicle,交通工具
Car,汽车
SomeProducts,一类产品
IndividualProduct,单个产品
ProductModel,产品型号
